Info 0    [03:50:40.804] Starting TS Server
Info 31   [03:51:02.436] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 6.6192809995263815ms
Info 32   [03:51:02.436] Different program with same set of files:: structureIsReused:: 2
Info 33   [03:51:03.279] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 34   [03:51:03.285] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 6.070257999934256ms
Info 35   [03:51:03.285] Different program with same set of files:: structureIsReused:: 2
Info 36   [03:51:04.487] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 37   [03:51:04.493] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 6.129188999533653ms
Info 38   [03:51:04.493] Different program with same set of files:: structureIsReused:: 2
Info 39   [03:51:07.109] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 40   [03:51:07.115] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 5.62126100063324ms
Info 41   [03:51:07.115] Different program with same set of files:: structureIsReused:: 2
Info 42   [03:51:07.587] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 43   [03:51:07.591] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 4.631217000074685ms
Info 44   [03:51:07.591] Different program with same set of files:: structureIsReused:: 2
Info 45   [03:51:08.247] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 46   [03:51:08.254] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 6.449701000005007ms
Info 47   [03:51:08.254] Different program with same set of files:: structureIsReused:: 2
Info 48   [03:51:09.731] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 49   [03:51:09.736] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 5.49713300075382ms
Info 50   [03:51:09.736] Different program with same set of files:: structureIsReused:: 2
Info 51   [03:51:10.148] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 52   [03:51:10.154] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 5.9317380003631115ms
Info 53   [03:51:10.154] Different program with same set of files:: structureIsReused:: 2
Info 54   [03:51:10.797] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 55   [03:51:10.802] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 5.455004000104964ms
Info 56   [03:51:10.802] Different program with same set of files:: structureIsReused:: 2
Info 57   [03:51:11.146] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 58   [03:51:11.154] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 8.784733000211418ms
Info 59   [03:51:11.155] Different program with same set of files:: structureIsReused:: 2
Info 60   [03:51:11.415] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 61   [03:51:11.417] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 1.7985840002074838ms
Info 62   [03:51:11.417] Different program with same set of files:: structureIsReused:: 2
Info 63   [03:51:11.829] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 64   [03:51:11.835] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 6.039321999996901ms
Info 65   [03:51:11.835] Different program with same set of files:: structureIsReused:: 2
Info 66   [03:51:12.344] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 67   [03:51:12.351] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 6.531747999601066ms
Info 68   [03:51:12.351] Different program with same set of files:: structureIsReused:: 2
Info 69   [03:51:12.803] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 70   [03:51:12.809] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 6.226462000049651ms
Info 71   [03:51:12.809] Different program with same set of files:: structureIsReused:: 2
Info 72   [03:51:13.031] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 73   [03:51:13.040] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 9.124016999267042ms
Info 74   [03:51:13.040] Different program with same set of files:: structureIsReused:: 2
Info 75   [03:51:13.046] getCompletionData: Get current token: 0.043713999912142754
Info 76   [03:51:13.046] getCompletionData: Is inside comment: 0.02843800000846386
Info 77   [03:51:13.046] getCompletionData: Get previous token 1: 0.203787999227643
Info 78   [03:51:13.048] getCompletionsAtPosition: isCompletionListBlocker: 1.2961420007050037
Info 79   [03:51:13.068] collectAutoImports: starting, not resolving module specifiers
Info 80   [03:51:13.068] collectAutoImports: module specifier cache size: 0
Info 81   [03:51:13.070] getSymbolToExportInfoMap: cache miss or empty; calculating new results
Info 82   [03:51:13.071] getSymbolToExportInfoMap: caching results
Info 83   [03:51:13.071] getSymbolToExportInfoMap: done in 3.0734970001503825 ms
Info 84   [03:51:13.072] collectAutoImports: done in 3.9597340002655983 ms
Info 85   [03:51:13.072] getCompletionData: Semantic work: 23.490530000068247
Info 86   [03:51:13.098] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 24.717608999460936
Info 87   [03:51:13.237] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 88   [03:51:13.248] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 10.999533000402153ms
Info 89   [03:51:13.248] Different program with same set of files:: structureIsReused:: 2
Info 90   [03:51:13.635] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 91   [03:51:13.642] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 6.538707000203431ms
Info 92   [03:51:13.642] Different program with same set of files:: structureIsReused:: 2
Info 93   [03:51:14.374] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 94   [03:51:14.380] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 6.087088999338448ms
Info 95   [03:51:14.380] Different program with same set of files:: structureIsReused:: 2
Info 96   [03:51:15.437] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 97   [03:51:15.443] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false Elapsed: 6.13406699988991ms
Info 98   [03:51:15.443] Different program with same set of files:: structureIsReused:: 2
Info 99   [03:51:16.237] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 100  [03:51:16.244] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false Elapsed: 6.018006999976933ms
Info 101  [03:51:16.244] Different program with same set of files:: structureIsReused:: 2
Info 102  [03:51:16.842] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 103  [03:51:16.848] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false Elapsed: 6.0039019994437695ms
Info 104  [03:51:16.848] Different program with same set of files:: structureIsReused:: 2
Info 105  [03:51:16.848] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 106  [03:51:16.850] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false Elapsed: 1.567099000327289ms
Info 107  [03:51:16.850] Different program with same set of files:: structureIsReused:: 2
Info 108  [03:51:17.413] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 109  [03:51:17.419] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false Elapsed: 5.909272000193596ms
Info 110  [03:51:17.419] Different program with same set of files:: structureIsReused:: 2
Info 111  [03:51:18.953] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 112  [03:51:18.959] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false Elapsed: 5.963558000512421ms
Info 113  [03:51:18.959] Different program with same set of files:: structureIsReused:: 2
Info 114  [03:51:19.971] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 115  [03:51:19.977] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false Elapsed: 6.1729659996926785ms
Info 116  [03:51:19.977] Different program with same set of files:: structureIsReused:: 2
Info 117  [03:51:20.480] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 118  [03:51:20.486] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false Elapsed: 5.900085999630392ms
Info 119  [03:51:20.486] Different program with same set of files:: structureIsReused:: 2
Info 120  [03:51:21.585] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 121  [03:51:21.591] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false Elapsed: 5.97097699996084ms
Info 122  [03:51:21.591] Different program with same set of files:: structureIsReused:: 2
Info 123  [03:51:22.752] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 124  [03:51:22.758] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false Elapsed: 6.134072000160813ms
Info 125  [03:51:22.758] Different program with same set of files:: structureIsReused:: 2
Info 126  [03:51:22.758] getCompletionData: Get current token: 0.004254000261425972
Info 127  [03:51:22.758] getCompletionData: Is inside comment: 0.016435000114142895
Info 128  [03:51:22.758] getCompletionData: Get previous token 1: 0.009960000403225422
Info 129  [03:51:22.758] getCompletionData: Get previous token 2: 0.004625000059604645
Info 130  [03:51:22.760] collectAutoImports: starting, not resolving module specifiers
Info 131  [03:51:22.760] collectAutoImports: module specifier cache size: 0
Info 132  [03:51:22.760] getSymbolToExportInfoMap: cache hit
Info 133  [03:51:22.760] collectAutoImports: done in 0.4316549999639392 ms
Info 134  [03:51:22.760] getCompletionData: Semantic work: 1.9690290000289679
Info 135  [03:51:22.769] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.440779000520706
Info 136  [03:51:22.774] getCompletionData: Get current token: 0.003767000511288643
Info 137  [03:51:22.774] getCompletionData: Is inside comment: 0.015433999709784985
Info 138  [03:51:22.774] getCompletionData: Get previous token 1: 0.01005600020289421
Info 139  [03:51:22.774] getCompletionData: Get previous token 2: 0.004356999881565571
Info 140  [03:51:22.776] collectAutoImports: starting, not resolving module specifiers
Info 141  [03:51:22.776] collectAutoImports: module specifier cache size: 0
Info 142  [03:51:22.776] getSymbolToExportInfoMap: cache hit
Info 143  [03:51:22.776] collectAutoImports: done in 0.1972460001707077 ms
Info 144  [03:51:22.776] getCompletionData: Semantic work: 2.047424000687897
Info 145  [03:51:22.785] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.135648000054061
Info 146  [03:51:22.787] getCompletionData: Get current token: 0.00382199976593256
Info 147  [03:51:22.787] getCompletionData: Is inside comment: 0.014763999730348587
Info 148  [03:51:22.787] getCompletionData: Get previous token 1: 0.010162999853491783
Info 149  [03:51:22.787] getCompletionData: Get previous token 2: 0.004410000517964363
Info 150  [03:51:22.789] collectAutoImports: starting, not resolving module specifiers
Info 151  [03:51:22.789] collectAutoImports: module specifier cache size: 0
Info 152  [03:51:22.789] getSymbolToExportInfoMap: cache hit
Info 153  [03:51:22.789] collectAutoImports: done in 0.19695500005036592 ms
Info 154  [03:51:22.789] getCompletionData: Semantic work: 1.8668679995462298
Info 155  [03:51:22.796] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5.8555620005354285
Info 156  [03:51:23.108] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 157  [03:51:23.119] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false Elapsed: 10.616092000156641ms
Info 158  [03:51:23.119] Different program with same set of files:: structureIsReused:: 2
Info 159  [03:51:23.432] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 160  [03:51:23.438] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false Elapsed: 6.5753309996798635ms
Info 161  [03:51:23.438] Different program with same set of files:: structureIsReused:: 2
Info 162  [03:51:23.439] getCompletionData: Get current token: 0.0037679998204112053
Info 163  [03:51:23.439] getCompletionData: Is inside comment: 0.019708999432623386
Info 164  [03:51:23.439] getCompletionData: Get previous token 1: 0.013230000622570515
Info 165  [03:51:23.439] getCompletionData: Get previous token 2: 0.01435299962759018
Info 166  [03:51:23.439] getCompletionsAtPosition: isCompletionListBlocker: 0.0017750002443790436
Info 167  [03:51:23.439] Returning an empty list because completion was requested in an invalid position.
Info 168  [03:51:23.440] getCompletionData: Get current token: 0.003459000028669834
Info 169  [03:51:23.440] getCompletionData: Is inside comment: 0.019925999455153942
Info 170  [03:51:23.440] getCompletionData: Get previous token 1: 0.013515000231564045
Info 171  [03:51:23.440] getCompletionData: Get previous token 2: 0.012814000248908997
Info 172  [03:51:23.440] getCompletionsAtPosition: isCompletionListBlocker: 0.0019270004704594612
Info 173  [03:51:23.440] Returning an empty list because completion was requested in an invalid position.
Info 174  [03:51:23.441] getCompletionData: Get current token: 0.003498000092804432
Info 175  [03:51:23.441] getCompletionData: Is inside comment: 0.017179999500513077
Info 176  [03:51:23.441] getCompletionData: Get previous token 1: 0.012944000773131847
Info 177  [03:51:23.441] getCompletionData: Get previous token 2: 0.012163999490439892
Info 178  [03:51:23.441] getCompletionsAtPosition: isCompletionListBlocker: 0.0030129998922348022
Info 179  [03:51:23.441] Returning an empty list because completion was requested in an invalid position.
Info 180  [03:51:23.835] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 181  [03:51:23.840] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false Elapsed: 5.7724260007962584ms
Info 182  [03:51:23.840] Different program with same set of files:: structureIsReused:: 2
Info 183  [03:51:23.841] getCompletionData: Get current token: 0.003620999865233898
Info 184  [03:51:23.841] getCompletionData: Is inside comment: 0.016990000382065773
Info 185  [03:51:23.841] getCompletionData: Get previous token 1: 0.013767000287771225
Info 186  [03:51:23.841] getCompletionData: Get previous token 2: 0.012615000829100609
Info 187  [03:51:23.841] getCompletionsAtPosition: isCompletionListBlocker: 0.0016780002042651176
Info 188  [03:51:23.841] Returning an empty list because completion was requested in an invalid position.
Info 189  [03:51:23.843] getCompletionData: Get current token: 0.0037359995767474174
Info 190  [03:51:23.843] getCompletionData: Is inside comment: 0.017734999768435955
Info 191  [03:51:23.843] getCompletionData: Get previous token 1: 0.013796999119222164
Info 192  [03:51:23.843] getCompletionData: Get previous token 2: 0.012578999623656273
Info 193  [03:51:23.843] getCompletionsAtPosition: isCompletionListBlocker: 0.0016850000247359276
Info 194  [03:51:23.843] Returning an empty list because completion was requested in an invalid position.
Info 195  [03:51:23.844] getCompletionData: Get current token: 0.0031869998201727867
Info 196  [03:51:23.844] getCompletionData: Is inside comment: 0.016262000426650047
Info 197  [03:51:23.844] getCompletionData: Get previous token 1: 0.012901999987661839
Info 198  [03:51:23.844] getCompletionData: Get previous token 2: 0.012464999221265316
Info 199  [03:51:23.844] getCompletionsAtPosition: isCompletionListBlocker: 0.0015829997137188911
Info 200  [03:51:23.844] Returning an empty list because completion was requested in an invalid position.
Info 201  [03:51:24.044] getCompletionData: Get current token: 0.004354000091552734
Info 202  [03:51:24.044] getCompletionData: Is inside comment: 0.018453000113368034
Info 203  [03:51:24.044] getCompletionData: Get previous token 1: 0.013628000393509865
Info 204  [03:51:24.044] getCompletionData: Get previous token 2: 0.012609000317752361
Info 205  [03:51:24.044] getCompletionsAtPosition: isCompletionListBlocker: 0.002123999409377575
Info 206  [03:51:24.044] Returning an empty list because completion was requested in an invalid position.
Info 207  [03:51:24.045] getCompletionData: Get current token: 0.0037129996344447136
Info 208  [03:51:24.045] getCompletionData: Is inside comment: 0.0174789996817708
Info 209  [03:51:24.046] getCompletionData: Get previous token 1: 0.02631700038909912
Info 210  [03:51:24.046] getCompletionData: Get previous token 2: 0.01256099995225668
Info 211  [03:51:24.046] getCompletionsAtPosition: isCompletionListBlocker: 0.001677999272942543
Info 212  [03:51:24.046] Returning an empty list because completion was requested in an invalid position.
Info 213  [03:51:24.046] getCompletionData: Get current token: 0.0031880000606179237
Info 214  [03:51:24.046] getCompletionData: Is inside comment: 0.029203000478446484
Info 215  [03:51:24.046] getCompletionData: Get previous token 1: 0.012298999354243279
Info 216  [03:51:24.046] getCompletionData: Get previous token 2: 0.012366999872028828
Info 217  [03:51:24.046] getCompletionsAtPosition: isCompletionListBlocker: 0.0018549999222159386
Info 218  [03:51:24.046] Returning an empty list because completion was requested in an invalid position.
Info 219  [03:51:24.310] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 220  [03:51:24.316] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false Elapsed: 5.942102000117302ms
Info 221  [03:51:24.316] Different program with same set of files:: structureIsReused:: 2
Info 222  [03:51:24.316] getCompletionData: Get current token: 0.0037070000544190407
Info 223  [03:51:24.316] getCompletionData: Is inside comment: 0.01691799983382225
Info 224  [03:51:24.316] getCompletionData: Get previous token 1: 0.012753999792039394
Info 225  [03:51:24.316] getCompletionData: Get previous token 2: 0.012377000413835049
Info 226  [03:51:24.316] getCompletionsAtPosition: isCompletionListBlocker: 0.002157999202609062
Info 227  [03:51:24.316] Returning an empty list because completion was requested in an invalid position.
Info 228  [03:51:24.318] getCompletionData: Get current token: 0.003394000232219696
Info 229  [03:51:24.318] getCompletionData: Is inside comment: 0.0166190005838871
Info 230  [03:51:24.318] getCompletionData: Get previous token 1: 0.01514199934899807
Info 231  [03:51:24.318] getCompletionData: Get previous token 2: 0.012384999543428421
Info 232  [03:51:24.318] getCompletionsAtPosition: isCompletionListBlocker: 0.0017709992825984955
Info 233  [03:51:24.318] Returning an empty list because completion was requested in an invalid position.
Info 234  [03:51:24.319] getCompletionData: Get current token: 0.0036969995126128197
Info 235  [03:51:24.319] getCompletionData: Is inside comment: 0.017051000148057938
Info 236  [03:51:24.319] getCompletionData: Get previous token 1: 0.013182000257074833
Info 237  [03:51:24.319] getCompletionData: Get previous token 2: 0.01224599964916706
Info 238  [03:51:24.319] getCompletionsAtPosition: isCompletionListBlocker: 0.0016419999301433563
Info 239  [03:51:24.319] Returning an empty list because completion was requested in an invalid position.
Info 240  [03:51:24.754] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 241  [03:51:24.760] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: false Elapsed: 5.8294919999316335ms
Info 242  [03:51:24.760] Different program with same set of files:: structureIsReused:: 2
Info 243  [03:51:24.760] getCompletionData: Get current token: 0.0035009998828172684
Info 244  [03:51:24.760] getCompletionData: Is inside comment: 0.017093000002205372
Info 245  [03:51:24.760] getCompletionData: Get previous token 1: 0.012808999978005886
Info 246  [03:51:24.760] getCompletionData: Get previous token 2: 0.012709000147879124
Info 247  [03:51:24.760] getCompletionsAtPosition: isCompletionListBlocker: 0.0016960008069872856
Info 248  [03:51:24.760] Returning an empty list because completion was requested in an invalid position.
Info 249  [03:51:24.762] getCompletionData: Get current token: 0.003574000671505928
Info 250  [03:51:24.762] getCompletionData: Is inside comment: 0.017338999547064304
Info 251  [03:51:24.762] getCompletionData: Get previous token 1: 0.013162999413907528
Info 252  [03:51:24.762] getCompletionData: Get previous token 2: 0.01292600017040968
Info 253  [03:51:24.762] getCompletionsAtPosition: isCompletionListBlocker: 0.0016620000824332237
Info 254  [03:51:24.762] Returning an empty list because completion was requested in an invalid position.
Info 255  [03:51:24.763] getCompletionData: Get current token: 0.0038029998540878296
Info 256  [03:51:24.763] getCompletionData: Is inside comment: 0.017820999957621098
Info 257  [03:51:24.763] getCompletionData: Get previous token 1: 0.014162999577820301
Info 258  [03:51:24.763] getCompletionData: Get previous token 2: 0.013220000080764294
Info 259  [03:51:24.763] getCompletionsAtPosition: isCompletionListBlocker: 0.0016329996287822723
Info 260  [03:51:24.763] Returning an empty list because completion was requested in an invalid position.
Info 261  [03:51:25.450] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 262  [03:51:25.456] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: false Elapsed: 5.607557000592351ms
Info 263  [03:51:25.456] Different program with same set of files:: structureIsReused:: 2
Info 264  [03:51:25.859] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 265  [03:51:25.865] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: false Elapsed: 5.867251999676228ms
Info 266  [03:51:25.865] Different program with same set of files:: structureIsReused:: 2
Info 267  [03:51:26.147] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 268  [03:51:26.155] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: false Elapsed: 8.079119000583887ms
Info 269  [03:51:26.155] Different program with same set of files:: structureIsReused:: 2
Info 270  [03:51:29.101] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 271  [03:51:29.107] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false Elapsed: 5.845100999809802ms
Info 272  [03:51:29.107] Different program with same set of files:: structureIsReused:: 2
Info 273  [03:51:37.515] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 274  [03:51:37.521] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: false Elapsed: 6.265065000392497ms
Info 275  [03:51:37.521] Different program with same set of files:: structureIsReused:: 2
Info 276  [03:51:37.854] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 277  [03:51:37.856] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: false Elapsed: 2.0514129996299744ms
Info 278  [03:51:37.856] Different program with same set of files:: structureIsReused:: 2
Info 279  [03:51:41.103] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 280  [03:51:41.109] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 47 structureChanged: false Elapsed: 5.7638589991256595ms
Info 281  [03:51:41.109] Different program with same set of files:: structureIsReused:: 2
Info 282  [03:51:41.502] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 283  [03:51:41.508] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 48 structureChanged: false Elapsed: 5.701580000109971ms
Info 284  [03:51:41.508] Different program with same set of files:: structureIsReused:: 2
Info 285  [03:51:42.165] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 286  [03:51:42.171] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 49 structureChanged: false Elapsed: 5.794823999516666ms
Info 287  [03:51:42.171] Different program with same set of files:: structureIsReused:: 2
Info 288  [03:51:42.573] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 289  [03:51:42.579] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 50 structureChanged: false Elapsed: 5.474733999930322ms
Info 290  [03:51:42.579] Different program with same set of files:: structureIsReused:: 2
Info 291  [03:51:42.943] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 292  [03:51:42.952] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 51 structureChanged: false Elapsed: 8.460274999961257ms
Info 293  [03:51:42.952] Different program with same set of files:: structureIsReused:: 2
Info 294  [03:51:43.582] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 295  [03:51:43.588] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 52 structureChanged: false Elapsed: 5.65971399936825ms
Info 296  [03:51:43.588] Different program with same set of files:: structureIsReused:: 2
Info 297  [03:51:44.664] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 298  [03:51:44.670] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 53 structureChanged: false Elapsed: 5.90967100020498ms
Info 299  [03:51:44.670] Different program with same set of files:: structureIsReused:: 2
Info 300  [03:51:45.186] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 301  [03:51:45.193] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 54 structureChanged: false Elapsed: 6.661461000330746ms
Info 302  [03:51:45.193] Different program with same set of files:: structureIsReused:: 2
Info 303  [03:51:45.822] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 304  [03:51:45.829] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 55 structureChanged: false Elapsed: 6.434965000487864ms
Info 305  [03:51:45.829] Different program with same set of files:: structureIsReused:: 2
Info 306  [03:51:45.829] getCompletionData: Get current token: 0.005076000466942787
Info 307  [03:51:45.829] getCompletionData: Is inside comment: 0.0035799993202090263
